city_ascii,country,population
Nongan,China,141482
Tyler,United States,141116
Orange,United States,140560
Fullerton,United States,140392
Miramar,United States,140328
Santa Maria,United States,140219
Athens,United States,140169
Peterborough,United Kingdom,140141
Dunhuang,China,140094
Columbia,United States,139945
Yuma,United States,138802
Zalantun,China,138032
Olathe,United States,137472
Thornton,United States,136978
Harlingen,United States,136968
Grand Junction,United States,136688
Shizuishan,China,136570
West Valley City,United States,136170
Carrollton,United States,135710
Roseville,United States,135329
Warren,United States,135022
Bloomington,United States,134892
Hampton,United States,134669
Surprise,United States,134085
Las Cruces,United States,133988
Greeley,United States,133750
Yunxian,China,133558
Yakima,United States,133233
Coral Springs,United States,133037
Sterling Heights,United States,132631
Mauldin,United States,132402
Racine,United States,131467
Stamford,United States,130824
Shuangcheng,China,130710
Elizabeth,United States,130215
Cambridge,United Kingdom,128488
Kent,United States,128458
Greenville,United States,128385
Simi Valley,United States,127864
Burlington,United States,127374
Santa Clara,United States,127134
Johnson City,United States,126589
Macheng,China,126366
Tengchong,China,126058
Boulder,United States,126054
Bellingham,United States,126015
Fort Smith,United States,125562
Lynchburg,United States,125004
Kenosha,United States,124888
Laiwu,China,124108
South Lyon,United States,123850
Round Rock,United States,123678
Jiaohe,China,123018
Berkeley,United States,122324
Nancha,China,121367
Xilinhot,China,120965
Billings,United States,120800
Redding,United States,120270
Yuba City,United States,120186
Duluth,United States,120101
Huanghua,China,120000
Pearland,United States,119940
Leominster,United States,119400
Saginaw,United States,119336
Iowa City,United States,119091
Arvada,United States,118807
Tongren,China,118290
Seaside,United States,118110
Kingsport,United States,118001
Independence,United States,117306
Richardson,United States,116783
Rochester,United States,116713
Huanren,China,116621
Taonan,China,116611
Yakeshi,China,116284
Gilroy,United States,116235
El Monte,United States,116109
Rock Hill,United States,115963
Buizhou,China,115893
Clearwater,United States,115513
Monroe,United States,115462
Dover,United States,115352
Carlsbad,United States,115330
Norman,United States,115065
Abilene,United States,114964
Bloomington,United States,114959
Texas City,United States,114546
Temecula,United States,114327
Utica,United States,114318
Saint Cloud,United States,114225
Zhijiang,China,113907
Saint George,United States,113906
West Jordan,United States,113905
Costa Mesa,United States,113825
Miami Gardens,United States,113750
Cambridge,United States,113630
Exeter,United Kingdom,113118
Downey,United States,113092
Coeur d'Alene,United States,112935
Westminster,United States,112812
Shaowu,China,112585
Elgin,United States,112456
El Centro,United States,112145
Waterloo,United States,112060
Kuqa,China,111499
Lowell,United States,111346
Gresham,United States,111053
North Charleston,United States,110861
Inglewood,United States,110598
Pompano Beach,United States,110473
Centennial,United States,110250
West Palm Beach,United States,110222
Everett,United States,110079
Santa Fe,United States,110078
Linqing,China,110046
Richmond,United States,110040
Hailun,China,109881
Dali,China,109696
Clovis,United States,109691
Tieli,China,109636
Pottstown,United States,109437
Heihe,China,109427
Jacksonville,United States,108872
Karamay,China,108769
Broken Arrow,United States,108303
Burlington,United States,108277
Nehe,China,108253
West Covina,United States,107598
Turlock,United States,107208
Golmud,China,107092
Daly City,United States,107074
Eau Claire,United States,107068
Hillsboro,United States,106894
Sandy Springs,United States,106739
Longjiang,China,106384
Sioux City,United States,106279
Chico,United States,106268
Norwalk,United States,106084
Salisbury,United States,106034
Lewisville,United States,106021
Davie,United States,105149
League City,United States,104903
Burbank,United States,104834
San Mateo,United States,104748
El Cajon,United States,103894
Rialto,United States,103562
Bend,United States,103349
Houma,China,102400
Charlottesville,United States,102016
La Crosse,United States,101886
Temple,United States,101876
Vista,United States,101568
Renton,United States,101379
Sparks,United States,100888
Holland,United States,100885
Vacaville,United States,100801
Logan,United States,100774
Allen,United States,100685
Longview,United States,100196
Chamdo,China,100000
Meridian,United States,99926
San Angelo,United States,99890
Tumen,China,99721
Wichita Falls,United States,99617
Longmont,United States,99398
Fengzhen,China,99174
Manteca,United States,98736
Boca Raton,United States,98150
Spokane Valley,United States,97847
Orem,United States,97839
Middletown,United States,97762
Compton,United States,97612
